headline,publisher,date,stock
Dividend increased by 15%,MarketWatch,2024-04-16,JPM
Company hires new marketing director,Bloomberg,2024-08-02,JPM
Company announces routine board meeting,Seeking Alpha,2024-05-10,META
Company announces routine board meeting - Breaking,Yahoo Finance,2024-07-10,TSLA
Stock hits all-time high after strong earnings,Yahoo Finance,2024-09-09,V
Lawsuit filed against company,MarketWatch,2024-06-18,GOOGL
Analyst downgrades to Sell,Seeking Alpha,2024-05-10,TSLA
Credit rating downgraded,Reuters,2024-06-15,MSFT
New product launch exceeds expectations - Breaking,Bloomberg,2024-09-21,JNJ
Company announces routine board meeting,WSJ,2024-09-20,GOOGL
CEO resigns effective immediately,Bloomberg,2024-12-25,AMZN
"Analyst upgrades to Buy, raises price target",Yahoo Finance,2024-04-15,AMZN
Executive to speak at conference,Bloomberg,2024-08-05,MSFT
Stock upgraded by multiple analysts - Breaking,MarketWatch,2024-10-30,JPM
CEO resigns effective immediately,Reuters,2024-07-08,JPM
Company announces routine board meeting,Bloomberg,2024-02-22,JPM
Patent application filed - Update,Reuters,2024-06-05,AAPL
Office expansion plans revealed - Update,WSJ,2024-05-15,JPM
Stock plunges on disappointing earnings,Seeking Alpha,2024-06-11,GOOGL
Stock hits all-time high after strong earnings,Bloomberg,2024-08-18,JNJ
Record quarterly revenue reported - Update,Seeking Alpha,2024-09-24,MSFT
Stock hits all-time high after strong earnings,MarketWatch,2024-03-02,JPM
Profit margins expand significantly,Seeking Alpha,2024-08-01,GOOGL
Stock hits all-time high after strong earnings,MarketWatch,2024-05-10,AAPL
Profit margins expand significantly,MarketWatch,2024-12-24,V
Regulatory investigation launched,Bloomberg,2024-06-27,NVDA
Lawsuit filed against company,Seeking Alpha,2024-08-09,TSLA
Quarterly report scheduled for next week,MarketWatch,2024-06-19,AMZN
Company misses revenue estimates,CNBC,2024-08-30,META
Credit rating reaffirmed - Update,Yahoo Finance,2024-05-13,AMZN
Office location announced - Breaking,MarketWatch,2024-12-13,V
